INFO: Connected
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.215723503Z] {"currentSoftwareList":[{"modules":[],"type":""}],"logPath":"/var/log/tedge/agent/workflow-software_list-c8y-mapper-2024-06-28T07:09:18.215723503Z.log","status":"successful"}
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.423064951Z] {"status":"init"}
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.439539938Z] {"status":"init"}
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.450229518Z] {"status":"init"}
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.259515889Z] {"logPath":"/var/log/tedge/agent/workflow-software_list-c8y-mapper-2024-06-28T07:09:18.259515889Z.log","status":"scheduled"}
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.458059602Z] {"status":"init"}
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.468682766Z] {"status":"init"}
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.474461716Z] {"status":"init"}
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.492326264Z] {"status":"init"}
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.482482629Z] {"status":"init"}
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.225468223Z] {"logPath":"/var/log/tedge/agent/workflow-software_list-c8y-mapper-2024-06-28T07:09:18.225468223Z.log","status":"scheduled"}
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.509834777Z] {"status":"init"}
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.518089396Z] {"status":"init"}
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.50168399Z] {"status":"init"}
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.526626343Z] {"status":"init"}
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.241195014Z] {"logPath":"/var/log/tedge/agent/workflow-software_list-c8y-mapper-2024-06-28T07:09:18.241195014Z.log","status":"scheduled"}
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.534739922Z] {"status":"init"}
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.540864533Z] {"status":"init"}
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.23361426Z] {"logPath":"/var/log/tedge/agent/workflow-software_list-c8y-mapper-2024-06-28T07:09:18.23361426Z.log","status":"scheduled"}
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.551552404Z] {"status":"init"}
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.559965729Z] {"status":"init"}
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.567007616Z] {"status":"init"}
[c8y/s/us] 118,software-management
[c8y/s/us] 118,software-management
[c8y/s/us] 118,software-management
[c8y/s/us] 118,software-management
[c8y/s/us] 118,software-management
[c8y/s/us] 118,software-management
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.270264635Z] {"logPath":"/var/log/tedge/agent/workflow-software_list-c8y-mapper-2024-06-28T07:09:18.270264635Z.log","status":"scheduled"}
[c8y/s/us] 118,software-management
[c8y/s/us] 118,software-management
[c8y/s/us] 118,software-management
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.278781291Z] {"logPath":"/var/log/tedge/agent/workflow-software_list-c8y-mapper-2024-06-28T07:09:18.278781291Z.log","status":"scheduled"}
[c8y/s/us] 118,software-management
[c8y/s/us] 118,software-management
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.354075925Z] {"logPath":"/var/log/tedge/agent/workflow-software_list-c8y-mapper-2024-06-28T07:09:18.354075925Z.log","status":"scheduled"}
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.439539938Z] {"logPath":"/var/log/tedge/agent/workflow-software_list-c8y-mapper-2024-06-28T07:09:18.439539938Z.log","status":"scheduled"}
[c8y/s/us] 118,software-management
[c8y/s/us] 118,software-management
[c8y/s/us] 118,software-management
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.450229518Z] {"logPath":"/var/log/tedge/agent/workflow-software_list-c8y-mapper-2024-06-28T07:09:18.450229518Z.log","status":"scheduled"}
[c8y/s/us] 118,software-management
[c8y/s/us] 118,software-management
[c8y/s/us] 118,software-management
[c8y/s/us] 118,software-management
[c8y/s/us] 118,software-management
[c8y/s/us] 118,software-management
[c8y/s/us] 118,software-management
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.423064951Z] {"logPath":"/var/log/tedge/agent/workflow-software_list-c8y-mapper-2024-06-28T07:09:18.423064951Z.log","status":"scheduled"}
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.458059602Z] {"logPath":"/var/log/tedge/agent/workflow-software_list-c8y-mapper-2024-06-28T07:09:18.458059602Z.log","status":"scheduled"}
[c8y/s/us] 118,software-management
[c8y/s/us] 118,software-management
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.468682766Z] {"logPath":"/var/log/tedge/agent/workflow-software_list-c8y-mapper-2024-06-28T07:09:18.468682766Z.log","status":"scheduled"}
[c8y/s/us] 118,software-management
[c8y/s/us] 118,software-management
[c8y/s/us] 118,software-management
[c8y/s/us] 119,tedge-configuration-plugin,tedge-log-plugin,tedge.toml
[c8y/s/us] 119,tedge-configuration-plugin,tedge-log-plugin,tedge.toml
[c8y/s/us] 119,tedge-configuration-plugin,tedge-log-plugin,tedge.toml
[c8y/s/us] 119,tedge-configuration-plugin,tedge-log-plugin,tedge.toml
[c8y/s/us] 119,tedge-configuration-plugin,tedge-log-plugin,tedge.toml
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.474461716Z] {"logPath":"/var/log/tedge/agent/workflow-software_list-c8y-mapper-2024-06-28T07:09:18.474461716Z.log","status":"scheduled"}
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.492326264Z] {"logPath":"/var/log/tedge/agent/workflow-software_list-c8y-mapper-2024-06-28T07:09:18.492326264Z.log","status":"scheduled"}
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.482482629Z] {"logPath":"/var/log/tedge/agent/workflow-software_list-c8y-mapper-2024-06-28T07:09:18.482482629Z.log","status":"scheduled"}
[c8y/s/us] 119,tedge-configuration-plugin,tedge-log-plugin,tedge.toml
[c8y/s/us] 119,tedge-configuration-plugin,tedge-log-plugin,tedge.toml
[c8y/s/us] 119,tedge-configuration-plugin,tedge-log-plugin,tedge.toml
[c8y/s/us] 119,tedge-configuration-plugin,tedge-log-plugin,tedge.toml
[c8y/s/us] 119,tedge-configuration-plugin,tedge-log-plugin,tedge.toml
[c8y/s/us] 119,tedge-configuration-plugin,tedge-log-plugin,tedge.toml
[c8y/s/us] 119,tedge-configuration-plugin,tedge-log-plugin,tedge.toml
[c8y/s/us] 119,tedge-configuration-plugin,tedge-log-plugin,tedge.toml
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.509834777Z] {"logPath":"/var/log/tedge/agent/workflow-software_list-c8y-mapper-2024-06-28T07:09:18.509834777Z.log","status":"scheduled"}
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.518089396Z] {"logPath":"/var/log/tedge/agent/workflow-software_list-c8y-mapper-2024-06-28T07:09:18.518089396Z.log","status":"scheduled"}
[c8y/s/us] 119,tedge-configuration-plugin,tedge-log-plugin,tedge.toml
[c8y/s/us] 119,tedge-configuration-plugin,tedge-log-plugin,tedge.toml
[c8y/s/us] 119,tedge-configuration-plugin,tedge-log-plugin,tedge.toml
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.50168399Z] {"logPath":"/var/log/tedge/agent/workflow-software_list-c8y-mapper-2024-06-28T07:09:18.50168399Z.log","status":"scheduled"}
[c8y/s/us] 119,tedge-configuration-plugin,tedge-log-plugin,tedge.toml
[c8y/s/us] 119,tedge-configuration-plugin,tedge-log-plugin,tedge.toml
[c8y/s/us] 119,tedge-configuration-plugin,tedge-log-plugin,tedge.toml
[c8y/s/us] 119,tedge-configuration-plugin,tedge-log-plugin,tedge.toml
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.526626343Z] {"logPath":"/var/log/tedge/agent/workflow-software_list-c8y-mapper-2024-06-28T07:09:18.526626343Z.log","status":"scheduled"}
[c8y/s/us] 119,tedge-configuration-plugin,tedge-log-plugin,tedge.toml
[c8y/s/us] 119,tedge-configuration-plugin,tedge-log-plugin,tedge.toml
[c8y/s/us] 119,tedge-configuration-plugin,tedge-log-plugin,tedge.toml
[c8y/s/us] 119,tedge-configuration-plugin,tedge-log-plugin,tedge.toml
[c8y/s/us] 119,tedge-configuration-plugin,tedge-log-plugin,tedge.toml
[c8y/s/us] 119,tedge-configuration-plugin,tedge-log-plugin,tedge.toml
[c8y/s/us] 119,tedge-configuration-plugin,tedge-log-plugin,tedge.toml
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.534739922Z] {"logPath":"/var/log/tedge/agent/workflow-software_list-c8y-mapper-2024-06-28T07:09:18.534739922Z.log","status":"scheduled"}
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.540864533Z] {"logPath":"/var/log/tedge/agent/workflow-software_list-c8y-mapper-2024-06-28T07:09:18.540864533Z.log","status":"scheduled"}
[c8y/s/us] 119,tedge-configuration-plugin,tedge-log-plugin,tedge.toml
[c8y/s/us] 119,tedge-configuration-plugin,tedge-log-plugin,tedge.toml
[c8y/s/us] 119,tedge-configuration-plugin,tedge-log-plugin,tedge.toml
[c8y/s/us] 119,tedge-configuration-plugin,tedge-log-plugin,tedge.toml
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.551552404Z] {"logPath":"/var/log/tedge/agent/workflow-software_list-c8y-mapper-2024-06-28T07:09:18.551552404Z.log","status":"scheduled"}
[c8y/s/us] 119,tedge-configuration-plugin,tedge-log-plugin,tedge.toml
[c8y/s/us] 119,tedge-configuration-plugin,tedge-log-plugin,tedge.toml
[c8y/s/us] 119,tedge-configuration-plugin,tedge-log-plugin,tedge.toml
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.559965729Z] {"logPath":"/var/log/tedge/agent/workflow-software_list-c8y-mapper-2024-06-28T07:09:18.559965729Z.log","status":"scheduled"}
[c8y/s/us] 119,tedge-configuration-plugin,tedge-log-plugin,tedge.toml
[c8y/s/us] 119,tedge-configuration-plugin,tedge-log-plugin,tedge.toml
[c8y/s/us] 119,tedge-configuration-plugin,tedge-log-plugin,tedge.toml
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.567007616Z] {"logPath":"/var/log/tedge/agent/workflow-software_list-c8y-mapper-2024-06-28T07:09:18.567007616Z.log","status":"scheduled"}
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.251323936Z] {"logPath":"/var/log/tedge/agent/workflow-software_list-c8y-mapper-2024-06-28T07:09:18.251323936Z.log","status":"executing"}
[c8y/s/us] 119,tedge-configuration-plugin,tedge-log-plugin,tedge.toml
[c8y/s/us] 119,tedge-configuration-plugin,tedge-log-plugin,tedge.toml
[c8y/s/us] 119,tedge-configuration-plugin,tedge-log-plugin,tedge.toml
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.251323936Z] {"currentSoftwareList":[{"modules":[],"type":""}],"logPath":"/var/log/tedge/agent/workflow-software_list-c8y-mapper-2024-06-28T07:09:18.251323936Z.log","status":"successful"}
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.259515889Z] {"logPath":"/var/log/tedge/agent/workflow-software_list-c8y-mapper-2024-06-28T07:09:18.259515889Z.log","status":"executing"}
[c8y/s/us] 119,tedge-configuration-plugin,tedge-log-plugin,tedge.toml
[c8y/s/us] 119,tedge-configuration-plugin,tedge-log-plugin,tedge.toml
[c8y/s/us] 119,tedge-configuration-plugin,tedge-log-plugin,tedge.toml
[c8y/s/us] 119,tedge-configuration-plugin,tedge-log-plugin,tedge.toml
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.259515889Z] {"currentSoftwareList":[{"modules":[],"type":""}],"logPath":"/var/log/tedge/agent/workflow-software_list-c8y-mapper-2024-06-28T07:09:18.259515889Z.log","status":"successful"}
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.225468223Z] {"logPath":"/var/log/tedge/agent/workflow-software_list-c8y-mapper-2024-06-28T07:09:18.225468223Z.log","status":"executing"}
[c8y/s/us] 119,tedge-configuration-plugin,tedge-log-plugin,tedge.toml
[c8y/s/us] 119,tedge-configuration-plugin,tedge-log-plugin,tedge.toml
[c8y/s/us] 119,tedge-configuration-plugin,tedge-log-plugin,tedge.toml
[c8y/s/us] 119,tedge-configuration-plugin,tedge-log-plugin,tedge.toml
[c8y/s/us] 119,tedge-configuration-plugin,tedge-log-plugin,tedge.toml
[c8y/s/us] 119,tedge-configuration-plugin,tedge-log-plugin,tedge.toml
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.225468223Z] {"currentSoftwareList":[{"modules":[],"type":""}],"logPath":"/var/log/tedge/agent/workflow-software_list-c8y-mapper-2024-06-28T07:09:18.225468223Z.log","status":"successful"}
[c8y/s/us] 119,tedge-configuration-plugin,tedge-log-plugin,tedge.toml
[c8y/s/us] 119,tedge-configuration-plugin,tedge-log-plugin,tedge.toml
[c8y/s/us] 102,tedge_container_ftw:device:main:service:tedge-agent,service,tedge-agent,up
[te/device/main/service/tedge-agent] {"@id":"tedge_container_ftw:device:main:service:tedge-agent","@parent":"device/main//","@type":"service","type":"service"}
[te/device/main/service/tedge-agent] {"@id":"tedge_container_ftw:device:main:service:tedge-agent","@parent":"device/main//","@type":"service","type":"service"}
[te/device/main/service/tedge-agent] {"@id":"tedge_container_ftw:device:main:service:tedge-agent","@parent":"device/main//","@type":"service","type":"service"}
[te/device/main/service/tedge-agent] {"@id":"tedge_container_ftw:device:main:service:tedge-agent","@parent":"device/main//","@type":"service","type":"service"}
[te/device/main/service/tedge-agent] {"@id":"tedge_container_ftw:device:main:service:tedge-agent","@parent":"device/main//","@type":"service","type":"service"}
[te/device/main/service/tedge-agent] {"@id":"tedge_container_ftw:device:main:service:tedge-agent","@parent":"device/main//","@type":"service","type":"service"}
[te/device/main/service/tedge-agent] {"@id":"tedge_container_ftw:device:main:service:tedge-agent","@parent":"device/main//","@type":"service","type":"service"}
[te/device/main/service/tedge-agent] {"@id":"tedge_container_ftw:device:main:service:tedge-agent","@parent":"device/main//","@type":"service","type":"service"}
[te/device/main/service/tedge-agent] {"@id":"tedge_container_ftw:device:main:service:tedge-agent","@parent":"device/main//","@type":"service","type":"service"}
[te/device/main/service/tedge-agent] {"@id":"tedge_container_ftw:device:main:service:tedge-agent","@parent":"device/main//","@type":"service","type":"service"}
[te/device/main/service/tedge-agent] {"@id":"tedge_container_ftw:device:main:service:tedge-agent","@parent":"device/main//","@type":"service","type":"service"}
[te/device/main/service/tedge-agent] {"@id":"tedge_container_ftw:device:main:service:tedge-agent","@parent":"device/main//","@type":"service","type":"service"}
[te/device/main/service/tedge-agent] {"@id":"tedge_container_ftw:device:main:service:tedge-agent","@parent":"device/main//","@type":"service","type":"service"}
[te/device/main/service/tedge-agent] {"@id":"tedge_container_ftw:device:main:service:tedge-agent","@parent":"device/main//","@type":"service","type":"service"}
[te/device/main/service/tedge-agent] {"@id":"tedge_container_ftw:device:main:service:tedge-agent","@parent":"device/main//","@type":"service","type":"service"}
[te/device/main/service/tedge-agent] {"@id":"tedge_container_ftw:device:main:service:tedge-agent","@parent":"device/main//","@type":"service","type":"service"}
[te/device/main/service/tedge-agent] {"@id":"tedge_container_ftw:device:main:service:tedge-agent","@parent":"device/main//","@type":"service","type":"service"}
[te/device/main/service/tedge-agent] {"@id":"tedge_container_ftw:device:main:service:tedge-agent","@parent":"device/main//","@type":"service","type":"service"}
[te/device/main/service/tedge-agent] {"@id":"tedge_container_ftw:device:main:service:tedge-agent","@parent":"device/main//","@type":"service","type":"service"}
[te/device/main/service/tedge-agent] {"@id":"tedge_container_ftw:device:main:service:tedge-agent","@parent":"device/main//","@type":"service","type":"service"}
[te/device/main/service/tedge-agent] {"@id":"tedge_container_ftw:device:main:service:tedge-agent","@parent":"device/main//","@type":"service","type":"service"}
[te/device/main/service/tedge-agent] {"@id":"tedge_container_ftw:device:main:service:tedge-agent","@parent":"device/main//","@type":"service","type":"service"}
[te/device/main/service/tedge-agent] {"@id":"tedge_container_ftw:device:main:service:tedge-agent","@parent":"device/main//","@type":"service","type":"service"}
[te/device/main/service/tedge-agent] {"@id":"tedge_container_ftw:device:main:service:tedge-agent","@parent":"device/main//","@type":"service","type":"service"}
[te/device/main/service/tedge-agent] {"@id":"tedge_container_ftw:device:main:service:tedge-agent","@parent":"device/main//","@type":"service","type":"service"}
[te/device/main/service/tedge-agent] {"@id":"tedge_container_ftw:device:main:service:tedge-agent","@parent":"device/main//","@type":"service","type":"service"}
[c8y/s/us] 102,tedge_container_ftw:device:main:service:tedge-agent,service,tedge-agent,up
[c8y/s/us] 102,tedge_container_ftw:device:main:service:tedge-agent,service,tedge-agent,up
[c8y/s/us] 102,tedge_container_ftw:device:main:service:tedge-agent,service,tedge-agent,up
[c8y/s/us] 102,tedge_container_ftw:device:main:service:tedge-agent,service,tedge-agent,up
[c8y/s/us] 102,tedge_container_ftw:device:main:service:tedge-agent,service,tedge-agent,up
[c8y/s/us] 102,tedge_container_ftw:device:main:service:tedge-agent,service,tedge-agent,up
[c8y/s/us] 102,tedge_container_ftw:device:main:service:tedge-agent,service,tedge-agent,up
[c8y/s/us] 102,tedge_container_ftw:device:main:service:tedge-agent,service,tedge-agent,up
[c8y/s/us] 102,tedge_container_ftw:device:main:service:tedge-agent,service,tedge-agent,up
[c8y/s/us] 102,tedge_container_ftw:device:main:service:tedge-agent,service,tedge-agent,up
[c8y/s/us] 102,tedge_container_ftw:device:main:service:tedge-agent,service,tedge-agent,up
[c8y/s/us] 102,tedge_container_ftw:device:main:service:tedge-agent,service,tedge-agent,up
[c8y/s/us] 102,tedge_container_ftw:device:main:service:tedge-agent,service,tedge-agent,up
[c8y/s/us] 102,tedge_container_ftw:device:main:service:tedge-agent,service,tedge-agent,up
[c8y/s/us] 102,tedge_container_ftw:device:main:service:tedge-agent,service,tedge-agent,up
[c8y/s/us] 102,tedge_container_ftw:device:main:service:tedge-agent,service,tedge-agent,up
[c8y/s/us] 102,tedge_container_ftw:device:main:service:tedge-agent,service,tedge-agent,up
[c8y/s/us] 102,tedge_container_ftw:device:main:service:tedge-agent,service,tedge-agent,up
[c8y/s/us] 102,tedge_container_ftw:device:main:service:tedge-agent,service,tedge-agent,up
[c8y/s/us] 102,tedge_container_ftw:device:main:service:tedge-agent,service,tedge-agent,up
[c8y/s/us] 102,tedge_container_ftw:device:main:service:tedge-agent,service,tedge-agent,up
[c8y/s/us] 102,tedge_container_ftw:device:main:service:tedge-agent,service,tedge-agent,up
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.241195014Z] {"logPath":"/var/log/tedge/agent/workflow-software_list-c8y-mapper-2024-06-28T07:09:18.241195014Z.log","status":"executing"}
[c8y/s/us] 102,tedge_container_ftw:device:main:service:tedge-agent,service,tedge-agent,up
[c8y/s/us] 102,tedge_container_ftw:device:main:service:tedge-agent,service,tedge-agent,up
[c8y/s/us] 102,tedge_container_ftw:device:main:service:tedge-agent,service,tedge-agent,up
[c8y/s/us] 102,tedge_container_ftw:device:main:service:tedge-agent,service,tedge-agent,up
[c8y/s/us] 102,tedge_container_ftw:device:main:service:tedge-mapper-c8y,service,tedge-mapper-c8y,up
[te/device/main/service/tedge-mapper-c8y] {"@id":"tedge_container_ftw:device:main:service:tedge-mapper-c8y","@parent":"device/main//","@type":"service","type":"service"}
[te/device/main/service/tedge-mapper-c8y] {"@id":"tedge_container_ftw:device:main:service:tedge-mapper-c8y","@parent":"device/main//","@type":"service","type":"service"}
[te/device/main/service/tedge-mapper-c8y] {"@id":"tedge_container_ftw:device:main:service:tedge-mapper-c8y","@parent":"device/main//","@type":"service","type":"service"}
[te/device/main/service/tedge-mapper-c8y] {"@id":"tedge_container_ftw:device:main:service:tedge-mapper-c8y","@parent":"device/main//","@type":"service","type":"service"}
[te/device/main/service/tedge-mapper-c8y] {"@id":"tedge_container_ftw:device:main:service:tedge-mapper-c8y","@parent":"device/main//","@type":"service","type":"service"}
[te/device/main/service/tedge-mapper-c8y] {"@id":"tedge_container_ftw:device:main:service:tedge-mapper-c8y","@parent":"device/main//","@type":"service","type":"service"}
[te/device/main/service/tedge-mapper-c8y] {"@id":"tedge_container_ftw:device:main:service:tedge-mapper-c8y","@parent":"device/main//","@type":"service","type":"service"}
[te/device/main/service/tedge-mapper-c8y] {"@id":"tedge_container_ftw:device:main:service:tedge-mapper-c8y","@parent":"device/main//","@type":"service","type":"service"}
[te/device/main/service/tedge-mapper-c8y] {"@id":"tedge_container_ftw:device:main:service:tedge-mapper-c8y","@parent":"device/main//","@type":"service","type":"service"}
[te/device/main/service/tedge-mapper-c8y] {"@id":"tedge_container_ftw:device:main:service:tedge-mapper-c8y","@parent":"device/main//","@type":"service","type":"service"}
[te/device/main/service/tedge-mapper-c8y] {"@id":"tedge_container_ftw:device:main:service:tedge-mapper-c8y","@parent":"device/main//","@type":"service","type":"service"}
[te/device/main/service/tedge-mapper-c8y] {"@id":"tedge_container_ftw:device:main:service:tedge-mapper-c8y","@parent":"device/main//","@type":"service","type":"service"}
[te/device/main/service/tedge-mapper-c8y] {"@id":"tedge_container_ftw:device:main:service:tedge-mapper-c8y","@parent":"device/main//","@type":"service","type":"service"}
[te/device/main/service/tedge-mapper-c8y] {"@id":"tedge_container_ftw:device:main:service:tedge-mapper-c8y","@parent":"device/main//","@type":"service","type":"service"}
[te/device/main/service/tedge-mapper-c8y] {"@id":"tedge_container_ftw:device:main:service:tedge-mapper-c8y","@parent":"device/main//","@type":"service","type":"service"}
[te/device/main/service/tedge-mapper-c8y] {"@id":"tedge_container_ftw:device:main:service:tedge-mapper-c8y","@parent":"device/main//","@type":"service","type":"service"}
[te/device/main/service/tedge-mapper-c8y] {"@id":"tedge_container_ftw:device:main:service:tedge-mapper-c8y","@parent":"device/main//","@type":"service","type":"service"}
[te/device/main/service/tedge-mapper-c8y] {"@id":"tedge_container_ftw:device:main:service:tedge-mapper-c8y","@parent":"device/main//","@type":"service","type":"service"}
[te/device/main/service/tedge-mapper-c8y] {"@id":"tedge_container_ftw:device:main:service:tedge-mapper-c8y","@parent":"device/main//","@type":"service","type":"service"}
[te/device/main/service/tedge-mapper-c8y] {"@id":"tedge_container_ftw:device:main:service:tedge-mapper-c8y","@parent":"device/main//","@type":"service","type":"service"}
[te/device/main/service/tedge-mapper-c8y] {"@id":"tedge_container_ftw:device:main:service:tedge-mapper-c8y","@parent":"device/main//","@type":"service","type":"service"}
[te/device/main/service/tedge-mapper-c8y] {"@id":"tedge_container_ftw:device:main:service:tedge-mapper-c8y","@parent":"device/main//","@type":"service","type":"service"}
[te/device/main/service/tedge-mapper-c8y] {"@id":"tedge_container_ftw:device:main:service:tedge-mapper-c8y","@parent":"device/main//","@type":"service","type":"service"}
[te/device/main///cmd/software_list/c8y-mapper-2024-06-28T07:09:18.241195014Z] {"currentSoftwareList":[{"modules":[],"type":""}],"logPath":"/var/log/tedge/agent/workflow-software_list-c8y-mapper-2024-06-28T07:09:18.241195014Z.log","status":"successful"}
